gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000176171,2429.8015198577864,-2.756089185964229,0.2970062574889726,-9.279566057851689,1.7017019483509556e-20,4.079028190252908e-19,BNIP3
ENSG00000068323,2387.0636353130376,-1.0606826324766125,0.13196904417370434,-8.037359360430681,9.179516160415606e-16,1.4959687020089892e-14,TFE3
ENSG00000104081,644.2446413986567,-3.007919237830684,0.3757930908515801,-8.004189834928777,1.2025575399291321e-15,1.9283212417793285e-14,BMF
ENSG00000126581,2024.0234516953753,0.9112718826901477,0.1209988040591442,7.531247021621123,5.0258005931370734e-14,6.930384065776264e-13,BECN1
ENSG00000165699,1223.183562040155,-0.7072682758441584,0.09924217708620432,-7.126690451679702,1.0281094913626932e-12,1.2231178940352311e-11,TSC1
ENSG00000106144,1050.6522697046544,-1.0368255727018652,0.14864934631395343,-6.9749756619315875,3.059237719241729e-12,3.416637482607882e-11,CASP2
ENSG00000145782,1239.4167950627434,-0.9443364790839852,0.13714548976886196,-6.885654648034886,5.752238595767088e-12,6.20614466602978e-11,ATG12
ENSG00000030110,778.0997161992709,-0.7648702885915222,0.11146294540209689,-6.8621036868556775,6.785378187235242e-12,7.24995018334549e-11,BAK1
ENSG00000123240,2332.0132495270304,-1.4279145364838532,0.21387313846559447,-6.6764557098111705,2.4478999802226227e-11,2.448366913933681e-10,OPTN
ENSG00000105221,5335.439052240838,0.5383578778503751,0.08212913483537584,6.555017034204601,5.563552557782423e-11,5.338058158596914e-10,AKT2
ENSG00000140379,3.753157604601007,6.064552967752701,0.9501507063372978,6.382727421348483,1.7396139676918353e-10,1.5699941204117277e-9,BCL2A1
ENSG00000196455,1248.7938681036055,0.5438935183596987,0.08600002585520287,6.324341335378725,2.5431500885363733e-10,2.2573013100703297e-9,PIK3R4
ENSG00000164305,1183.4384566124427,-1.6254864070650161,0.2606379955803228,-6.236567325672506,4.472768641442087e-10,3.8262566365277025e-9,CASP3
ENSG00000139112,1993.4830381810698,-1.369085981429133,0.22238508462082954,-6.156375027414489,7.442885620943277e-10,6.194725516415249e-9,GABARAPL1
ENSG00000185896,9083.477010233693,-0.8498840643217627,0.1453690052155436,-5.846391141368894,5.023520495354718e-9,3.732317352800916e-8,LAMP1
ENSG00000164327,1442.459519495486,1.4074496381704444,0.2432535334750443,5.785937075873295,7.210920504727247e-9,5.226048606294032e-8,RICTOR
ENSG00000141564,2289.066824939835,-0.6869917122745642,0.12218777700233738,-5.622425819739911,1.882944304354571e-8,1.286412828649276e-7,RPTOR
ENSG00000015475,768.4696481991068,1.4060716629752348,0.2511798145267697,5.597868863882697,2.170027917876607e-8,1.470095786483978e-7,BID
ENSG00000086758,8366.58766250895,-0.8914316321587546,0.16049110252088145,-5.5543990798042575,2.7856839729008803e-8,1.851297073752315e-7,HUWE1
ENSG00000118217,1907.1400140987023,-1.2847774696488743,0.2411877642966692,-5.326876648968619,9.991596749699669e-8,6.086661348481001e-7,ATF6
ENSG00000176720,570.4120278409475,3.213777802206118,0.6288945672953271,5.110201247289416,3.2181582628774186e-7,1.8120174873984155e-6,BOK
ENSG00000197548,936.9703053721423,0.6258527045375462,0.12441051582028553,5.0305450500792706,4.890874470037445e-7,2.6748683477070502e-6,ATG7
ENSG00000140941,1947.4746754632608,-1.2324707228755158,0.2535490949355041,-4.860876049228345,1.1686741453712442e-6,5.985780592189615e-6,MAP1LC3B
ENSG00000057663,850.7273846638922,-0.8633693499242205,0.17804047576504367,-4.849286917563572,1.2390609031084423e-6,6.324668625406783e-6,ATG5
