gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000176014,17701.394603032953,1.818681186827181,0.1681964078202586,10.812842024371271,2.9925261704781132e-27,3.829554274922366e-25,TUBB6
ENSG00000167552,8405.224066805133,3.658223255847131,0.3887207192574934,9.410929427262865,4.917689175688205e-21,3.8647143061223073e-19,TUBA1A
ENSG00000101639,1254.53985482667,0.9403733012309945,0.1374989673505934,6.8391299174868765,7.967560511817007e-12,2.1135691810297882e-10,CEP192
ENSG00000117399,5806.235367466348,-0.9223643967153213,0.15854270583291818,-5.817766209234276,5.963923528939761e-9,1.0271768743237598e-7,CDC20
ENSG00000131711,13779.514285447365,1.0181108281009694,0.1945097695614539,5.234240061033566,1.6566502811515994e-7,2.115732979269873e-6,MAP1B
ENSG00000169679,2956.0016531681913,-1.190188035556233,0.2290531271021137,-5.196122186210703,2.0348853876058383e-7,2.5460942211170724e-6,BUB1
ENSG00000177868,270.4016648718388,-0.7151849128856204,0.14795768077924532,-4.83371264755552,1.340099855214276e-6,1.3603926106415653e-5,SVBP
ENSG00000030110,909.5834718009937,0.9641683625712454,0.201074425015494,4.79508203242133,1.6260827512703867e-6,1.6147702020779236e-5,BAK1
ENSG00000171791,305.94083181528583,1.2455312810627304,0.28247798359537307,4.4093039224141926,1.0370340370333898e-5,8.41132013879846e-5,BCL2
ENSG00000114999,2476.1143770101794,-0.36741089377185493,0.09240895617505508,-3.9759229946916554,7.010681001005654e-5,4.547987478651507e-4,TTL
ENSG00000156970,2571.686892806806,0.5500242828047764,0.16131627811963398,3.409601865453852,6.505777701653154e-4,0.0031403435360889834,BUB1B
ENSG00000171530,3023.9292284018306,0.4873635920380166,0.15256642538989607,3.1944354125917207,0.0014010463115962117,0.006025446762907011,TBCA
ENSG00000142945,2789.025005178296,-0.42785658656175485,0.14263180665175143,-2.9997277367901938,0.002702210307609039,0.010503979044935248,KIF2C
ENSG00000123416,61769.580074876554,0.5101518535257749,0.17370296470005947,2.9369208200140764,0.003314887291466395,0.012408947736722057,TUBA1B
ENSG00000112742,1341.6161980863722,0.7611395663143133,0.26770002750058597,2.843255465532768,0.004465526162479672,0.015839965216309614,TTK
ENSG00000127824,2169.62307219413,1.6630559422445663,0.6116863478410455,2.718805067522502,0.006551820729722261,0.021673790693955888,TUBA4A
ENSG00000087088,1934.7993746137513,-0.483671537139416,0.1900487168701234,-2.54498712280152,0.010928176820377205,0.03302216794671297,BAX
