gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000126934,5197.495386657004,-1.1460058794712566,0.11491864878699268,-9.972322956872166,2.0146090273698678e-23,1.4920920570202272e-21,MAP2K2
ENSG00000066468,195.9842008249858,8.6827308574775,1.1586153107181378,7.494058448179606,6.677596466405452e-14,1.999463170512261e-12,FGFR2
ENSG00000051382,1422.4927200281363,-1.4856241657643643,0.22301548445505134,-6.661529218002758,2.709929088207575e-11,5.47734943961724e-10,PIK3CB
ENSG00000169032,3039.3261325826797,-0.6403653074441079,0.10340478978681743,-6.192801211281462,5.910425330653571e-10,9.84757670353727e-9,MAP2K1
ENSG00000070614,6707.889898473718,1.1236568452919051,0.18555171873900586,6.055760910910361,1.397554495733544e-9,2.16182599487639e-8,NDST1
ENSG00000134853,2707.141104325841,-6.262508891713701,1.1291574110717146,-5.546178796957795,2.919802545274829e-8,3.6148293767844315e-7,PDGFRA
ENSG00000244405,1226.6779579921754,-1.8865759239363395,0.3409526249026633,-5.533249449171795,3.143519048081624e-8,3.868946520715845e-7,ETV5
ENSG00000113721,926.788327093663,2.1269460925299515,0.384713896089453,5.528643789969567,3.227158565059388e-8,3.951007215166167e-7,PDGFRB
ENSG00000121741,734.8648699372961,1.100182576908809,0.20547074989141317,5.354448638018947,8.581769250003011e-8,9.624070812202413e-7,ZMYM2
ENSG00000068078,72.44505819049404,5.032170758641103,0.9937359302414153,5.063891327164352,4.107838726490711e-7,4.000943294946343e-6,FGFR3
ENSG00000065361,364.9110123518161,-5.755360004156185,1.1513683653794973,-4.9987129898772125,5.771423282555851e-7,5.446602071245863e-6,ERBB3
ENSG00000177885,3761.4570483702846,-0.8304932994218565,0.1713652208882295,-4.8463351846844915,1.2576297224543953e-6,1.1024641983539994e-5,GRB2
ENSG00000136720,1243.8298781773208,-1.5547450879390248,0.32131833557963935,-4.838644159955442,1.307278583550663e-6,1.1412144569438523e-5,HS6ST1
ENSG00000108091,2105.602935766223,0.37900046981384006,0.08252843852858345,4.592362058111332,4.382571842827789e-6,3.3921235533851716e-5,CCDC6
ENSG00000182197,7614.738397655378,-0.603011175603552,0.1316055137201137,-4.581959817321787,4.606384214446119e-6,3.548320953134533e-5,EXT1
ENSG00000145675,1219.108080374906,1.5165868976953927,0.3520087778015445,4.308378067067447,1.644560985761001e-5,1.106936360358079e-4,PIK3R1
ENSG00000173757,1667.3737228670634,0.6879583471059889,0.16470912567869486,4.176807716459006,2.9562872481857787e-5,1.861727684940989e-4,STAT5B
ENSG00000133703,1248.8104407478702,0.6018788460773257,0.15092480641605444,3.9879384997727025,6.664993516423665e-5,3.85374521666869e-4,KRAS
