gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000121741,873.9203607254725,1.0426007564038045,0.12482644992688695,8.352402531790931,6.688825573467611e-17,3.0802335135361046e-15,ZMYM2
ENSG00000065361,278.23800860442935,-5.756003501648685,0.7152224587009786,-8.047850611546812,8.426070892866804e-16,3.396143237606718e-14,ERBB3
ENSG00000133703,1461.4630011945765,0.7418559155784589,0.09581272287337207,7.742770410135508,9.727360016299798e-15,3.268237327716471e-13,KRAS
ENSG00000175832,380.333693143353,1.6007563406538496,0.20935241324529624,7.6462282705012745,2.0696013306635836e-14,6.655368812037457e-13,ETV4
ENSG00000126934,5050.874160825894,-0.7494553996239417,0.0985795033050201,-7.602547938439208,2.9035636447064096e-14,9.18252002638402e-13,MAP2K2
ENSG00000139318,567.4552101933758,2.4839513753490503,0.33864487611457034,7.334974040796294,2.2176446648940213e-13,6.095329884569314e-12,DUSP6
ENSG00000100030,5017.205393234948,0.7447004225062309,0.10212293997699061,7.292195295924891,3.0494468029840765e-13,8.220196844141542e-12,MAPK1
ENSG00000169032,3017.254469565401,-0.4617335209304081,0.0708763058180995,-6.5146386454653,7.286485315899847e-11,1.2944915833213272e-9,MAP2K1
ENSG00000164327,1395.6970374355553,1.3821737937528473,0.2203234576275833,6.273384634736264,3.5328271675655416e-10,5.5076933103080165e-9,RICTOR
ENSG00000136720,1112.5609736516292,-1.1582494097304696,0.20541408795522909,-5.638607464853702,1.7143082124479326e-8,1.9006736089331645e-7,HS6ST1
ENSG00000156427,109.45516952836331,-3.7461800965784766,0.6803114700289706,-5.506566126863843,3.659005596193455e-8,3.7808256213493355e-7,FGF18
ENSG00000068078,61.480630566719874,3.786617027645771,0.7112328404009294,5.324018819928528,1.0149939846194354e-7,9.58356955171921e-7,FGFR3
ENSG00000141564,2459.426511980372,-0.5103098200052503,0.10240297651917701,-4.983349482128427,6.249292987648774e-7,4.913796935066574e-6,RPTOR
ENSG00000095787,6476.267342162879,1.517423616069994,0.3097618662225687,4.898677924995783,9.648364633299482e-7,7.287985932901289e-6,WAC
ENSG00000182197,7481.040777606085,-0.41820383090068397,0.08910514871676073,-4.69337447861775,2.6873490620943383e-6,1.8429667849418355e-5,EXT1
ENSG00000066468,148.99653915929184,7.10750833639942,1.5459236950919526,4.59758030681887,4.274258993663985e-6,2.7844704056717227e-5,FGFR2
ENSG00000113578,428.3397575024478,-2.0146606940175396,0.46060209482431547,-4.373972061038886,1.220060005554365e-5,7.04040672070242e-5,FGF1
ENSG00000105550,22.031716087596717,-4.269059514347273,1.027136625116247,-4.156272310768899,3.23482238392593e-5,1.6805550529455865e-4,FGF21
ENSG00000140285,76.30020004183102,3.5344465705480883,0.8670185727888038,4.0765523155742605,4.5708375280655296e-5,2.2929531116064992e-4,FGF7
ENSG00000156735,611.4915514207444,0.44541276139790303,0.1166512717599992,3.8183275216604984,1.3435947164887606e-4,5.953607396401664e-4,BAG4
ENSG00000051382,1445.5323038097179,-0.7246442888833738,0.19083332047232088,-3.797262905083071,1.463025988891517e-4,6.415135255947582e-4,PIK3CB
ENSG00000177885,3809.268365146915,-0.45333897590981004,0.12298021604012052,-3.6862756507267376,2.2755986698520564e-4,9.479328797505124e-4,GRB2
ENSG00000109458,282.63329849513724,0.744682121636771,0.21226815325478104,3.5082140689420545,4.511258859056465e-4,0.0017332380357538498,GAB1
ENSG00000171862,2266.714179959864,-0.41500089146716224,0.11865187473365275,-3.4976345076615734,4.6940394092027845e-4,0.0017964303545443643,PTEN
ENSG00000157764,830.9354133230088,-0.4957569282783503,0.14341194550206188,-3.4568733207180613,5.46481679726047e-4,0.0020433705114970193,BRAF
ENSG00000168610,4486.709711449562,-0.6035015581272128,0.17635047218342978,-3.4221714898471305,6.212311788815226e-4,0.002288637460584753,STAT3
ENSG00000160867,35.64649521778572,2.31672458391267,0.694698175227596,3.3348649334708096,8.534083978799236e-4,0.00301695672509773,FGFR4
ENSG00000126561,188.93766024334897,1.7039602371258213,0.5302049906886123,3.213776307372693,0.0013100168762122933,0.004381118710556131,STAT5A
ENSG00000120549,1023.8829659807184,-0.9418187477339213,0.2959120858483244,-3.1827653981550084,0.0014587575747143464,0.004796062362834908,KIAA1217
ENSG00000174775,1579.3450863229125,-0.6505545134626085,0.20696288106869434,-3.1433390862329507,0.0016703222417103682,0.005380441287571104,HRAS
